0,1
0,112
1,87
2,128
3,157
4,241
5,113
6,11
7,120
8,252
9,46
10,42
11,71
12,202
13,127
14,119
15,7
16,148
17,21
18,207
19,150
20,189
21,193
22,14
23,196
24,7
25,245
26,137
27,23
28,89
29,93
30,92
31,150
32,24
33,106
34,38
35,221
36,67
37,93
38,211
39,68
40,182
41,18
42,63
43,188
44,66
45,203
46,77
47,104
48,103
49,133
50,160
51,130
52,33
53,77
54,101
55,95
56,247
57,16
58,244
59,152
60,41
61,118
62,63
63,37
64,124
65,109
66,77
67,238
68,19
69,36
70,102
71,89
72,13
73,74
74,124
75,241
76,34
77,202
78,210
79,8
80,89
81,32
82,199
83,30
84,15
85,169
86,68
87,217
88,35
89,172
90,201
91,138
92,33
93,232
94,195
95,110
96,46
97,105
98,130
99,221
100,94
101,186
102,78
103,118
104,1
105,177
106,3
107,128
108,87
109,136
110,72
111,115
112,3
113,137
114,71
115,50
116,235
117,225
118,21
119,72
120,116
121,140
122,206
123,219
124,72
125,184
126,157
127,9
128,177
129,7
130,39
131,49
132,163
133,224
134,171
135,47
136,182
137,129
138,182
139,25
140,21
141,28
142,17
143,233
144,15
145,150
146,244
147,103
148,20
149,72
150,183
151,248
152,66
153,67
154,147
155,71
156,239
157,131
158,103
159,222
160,65
161,99
162,159
163,233
164,171
165,213
166,13
167,30
168,97
169,141
170,125
171,114
172,162
173,234
174,165
175,29
176,48
177,26
178,204
179,242
180,215
181,206
182,60
183,170
184,197
185,213
186,249
187,233
188,94
189,255
190,136
191,55
192,219
193,180
194,96
195,62
196,200
197,29
198,124
199,238
200,10
201,49
202,214
203,93
204,208
205,161
206,195
207,1
208,146
209,235
210,86
211,201
212,202
213,132
214,176
215,78
216,224
217,112
218,248
219,29
220,249
221,104
222,215
223,185
224,224
225,198
226,103
227,4
228,148
229,162
230,237
231,166
232,234
233,234
234,231
235,61
236,162
237,47
238,164
239,133
240,13
241,192
242,37
243,43
244,164
245,128
246,198
247,84
